Global cluster,OCHA_Code,Sub-domain,Indicator,Indicator_Local,Unit of Measurement,Denominator,Disaggregation,Indicator used for response monitoring?,Key indicator,Numerator,Sectoral objective,Standards,Strategic objective,Standards,Indicator_Types,Unit_Description,
Protection,P3-PL3-3,PL3 HLP Disputes,Percentage of operational HLP dispute resolution mechanisms within surveyed communities,,Community,Total # of national / local HLP dispute resolution mechanisms within surveyed communities,Geographic; Administration; Type of HLP dispute resolution mechanism; Type of displacement site,No,Yes,# operational HLP dispute resolution mechanisms within surveyed communities,,,,,Baseline,Percentage,
Protection,P3-PL3-4,PL3 HLP Disputes,Number of HLP  dispute resolution mechanisms provided with support,,Community,,Geographic; Administration; Type of displacement site; Type of HLP dispute resolution mechanism,Yes,No,# of HLP dispute resolution institutions provided with support,,,,,Output,Number,
Protection,P3-PL3-5,PL3 HLP Disputes,Number of complaints/ disputes reported in relation to the use of land for humanitarian response activities,,Facility,n/a,"Geographic; Administrative; Type of displacement site; Sector of humanitarian relief; Specific groups / categories of persons (ethnicity, religion, disability; etc.);  Individual status (i.e. refugee, IDP, host community);",No,Yes,# of complaints/disputes reported in relation to land used for humanitarian response activities,,,,,Baseline,Number,
Protection,P3-PL4-1,PL4 Security of tenure for informal rights holders or vulnerable groups,Number of interventions to improve land use and management,,Community,n/a,Geographic; Administrative; Type of displacement site,Yes,No,# of interventions to improve land use and management,,,,,Output,Number,
Protection,P3-PL4-2,PL4 Security of tenure for informal rights holders or vulnerable groups,Number of advocacy initiatives carried out to promote HLP rights and/or to ensure that HLP issues are addressed,,Community,n/a,Geographic; Administrative; Type of displacement site,Yes,No,# of advocacy initiatives to promote HLP rights and/or to ensure HLP issues are addressed,,,,,Output,Number,
Protection,P3-PL4-3,PL4 Security of tenure for informal rights holders or vulnerable groups,"Number and Percentage of surveyed persons / communities provided with access to information  on HLP rights, referral services, and available support",,Households or Communities,Total # of surveyed persons / communities affected by HLP issues or disputes,"Geographic; Administration; Type of displacement site; Age; Sex; Specific groups / categories of persons (ethnicity, religion, disability; etc.);  Individual status (i.e. refugee, IDP, host community)",Yes,No,# surveyed persons / communitities provided with HLP information,,,,,Output,Number and Percentage,
Protection,P3-PL4-4,PL4 Security of tenure for informal rights holders or vulnerable groups,Number of targeted persons provided with HLP capacity building / training,,Individual,n/a,"Geographic; Administration; Age; Sex; Specific groups / categories of persons (ethnicity, religion, disability; etc.);  Individual status (i.e. refugee, IDP, host community); Type of beneficiary (local, national, international)",Yes,No,# of persons provided with HLP training,,,,,Output,Number,
Protection,P4-PM1-1,PM1 Clearance of Mines and other Explosive Remnants of War (ERW),Percentage of land cleared of land mines and/or unexploded ordinances,,Community,Total land identified to be at risk of mine or UXO contamination,"Georaphical; Release status (land cleared and released by other means, land not cleared and released); Use of released land (land in use, land not in use); Types of land use (Accomodation, Production)",Yes,Yes,Total land identified to be at risk of mine or UXO contamination which is cleared and being used for socio-economic purposes,,,,IMAS,Outcome,"Measurement to be selected at national level, i.e. m2 or hectares",
Protection,P4-PM1-2,PM1 Clearance of Mines and other Explosive Remnants of War (ERW),Number or percentage of communities where presence of explosive remnants of war or unexploded amunitions/devices are reported,,Community,Total population living in surveyed area,"Geography; Shelter type (Area of Origin, Camp, Temporary Shelter, Transit)",Yes,Yes,Population living in at risk area,,,,IMAS,"Baseline, Outcome",Number or Percentage,
Protection,P4-PM1-3,PM1 Clearance of Mines and other Explosive Remnants of War (ERW),"Mechanism in place to collect, analyse and disseminate Mine/ERW data",,Community,n/a,n/a,Yes,Yes,"State collects, analyzes and disseminates data related to mine and ERW
related disabilities disaggregated by age and gender",,,,IMAS,Output,This indicator can be measured with yes / no.,
Protection,P4-PM2-1,PM2 Mine and ERW risk education,Number or percentage of persons trained on mine risk reduction,,Community,Total # of affected individuals,"Geography; Status (displaced, host family, etc.); sex, age",Yes,Yes,# of affected individuals with the information needed to reduce personal risks,,,,IMAS,Output,Number and Percentage Affected,
Protection,P4-PM4-1,PM4 Victim Assistance,Number or percentage of survivors from mine/ERW incidents receiving support,,Individual,Total number of survivors from mine/ ERW incidents,"Geography (including communities affected); Age, sex",Yes,Yes,Number of survivors from mine/ERW incidents receiving emergency medical care and psychological support,,,,,Output,Number and percentage (mine/ ERW survivors),
Protection,P5-1,P5 Vulnerability,Percentage of female-headed households,,Household,total # of households,Geographic unit,,Yes,# female-headed households,,,,,"Baseline, Output",Percentage female headed,
Protection,P5-10,P5 Vulnerability,Percentage/number of reported incidence of intentional physical violence and other harmful practices [broken down by victim],,Community,,SADD,No,Yes,,,,,,Baseline,,
Protection,P5-11,P5 Vulnerability,Percentage of survivors of intentional physical violence and other harmful practices  who are referred for support,,Individual,,SADD,Yes,Yes,,,,,,"Baseline, Output",,
Protection,P5-2,P5 Vulnerability,Percentage of child headed households,,Household,,geographic unit ; sex and age,,Yes,,,,,,"Baseline, Output",,
Protection,P5-3,P5 Vulnerability,Percentage of older people in need of assistance who are receiving specific support,,Individual,,sex/age/geographic unit,,Yes,,,,,,Output,,
Protection,P5-4,P5 Vulnerability,Percentage of persons with disabilities identified in need of assistance who are receiving specific support,,Individual,,age/sex/geographic unit; type of support,,Yes,,,,,,Output,,
Protection,P5-5,P5 Vulnerability,Percentage of persons identified in need of assistance receiving psychosocial support,,Individual,,age/sex,,Yes,,,,,,Output,,
Protection,P5-6,P5 Vulnerability,Percentage of health facilities providing access to preventing mother to child transmission services (PMTCT),,Facility,,geographic unit,,Yes,yes/no,,,,,"Baseline, Output",,
Protection,P5-7,P5 Vulnerability,Percentage of communities providing access to voluntary counselling and testing services,,Community,,geographic unit,,Yes,yes/no,,,,,"Baseline, Output",,
Protection,P5-8,P5 Vulnerability,Percentage of communities reporting the incidence of reported cases of trafficking for exploitation (labour or sex),,Community,,SADD,No,Yes,,,,,,Baseline,,
Protection,P5-9,P5 Vulnerability,"Percentage of communities reporting the incidence of cases of abuse, violence or exploitation in need of assistance receiving support",,Community,,SADD/type of assistance,No,Yes,,,,,,"Baseline, Output",,
Protection,P6-1,P6 Displacement and Return,Percentage of  communities reporting arbitrary restrictions on freedom of movement,,Community,,camp/non-camp communities,,Yes,,,,,,"Baseline, Output",,
Protection,P6-2,P6 Displacement and Return,Number of [or percentage of] IDPs/affected population/returnees registered,,Community,,age/sex,,Yes,,,,,,"Baseline, Output",,
Protection,P6-3,P6 Displacement and Return,Durable solutions strategy developed and agreed among all relevant stakeholders,,Community,,geographic unit,,Yes,yes/no,,,,,"Baseline, Output",,
Protection,P6-4,P6 Displacement and Return,Durable solutions strategy implemented and monitored,,Community,,geographic unit,,Yes,yes/no,,,,,"Baseline, Output",,
Protection,P7-1,P7 Documentation,% of affected population lacking personal identity/civil documents,,Household,,"geographic unit/ age/sex, type of documentation",,Yes,,,,,,"Baseline, Output",,
Protection,P7-2,P7 Documentation,Number of civil/individual documents issued/supported to be issued,,Individual or facility,,type of documents being issued,,Yes,,,,,,"Baseline, Output",,
Early Recovery,R-1,R4 Governance,Number and Percentage of public sector employees (male/female) unavailable because of crisis by gender/grade or post,,Employees,# of public sector employees pre-crisis,a) general administration; b) civil registry; c) justice; d) civil protection; e) security; f) sex by grade,Yes,Yes,# of public sector employees,,,,n/a,Baseline,Number and Percentage,
Early Recovery,R-10,R2 Basic Infrastructure Restoration,Area and Percentage of affected landmass with problematic rubble/debris present,,Affected areas,n/a,n/a,Yes,Yes,n/a,,,,n/a,"Baseline, Output",Meters squared and percentage,
Early Recovery,R-11,R2 Basic Infrastructure Restoration,"Percentage of debris collected which is recycled (e.g. for shelter, furniture, livelihoods production etc)",,Debris,n/a,"age/gender-different groups of society will recycle different things egg rags for sanitary napkins, or children's toys can be made out of different items.",Yes,Yes,n/a,,,,n/a,Output,Percentage,
Early Recovery,R-12,R2 Basic Infrastructure Restoration,Number of safe waste disposal sites identified in each targeted debris removal area,,Waste disposal sites,n/a,n/a,Yes,Yes,n/a,,,,,Output,Number,
Early Recovery,R-13,R2 Basic Infrastructure Restoration,"Number and Percentage of population with access to basic community infrastructure not covered by other sectors or clusters, e.g. police stations, town halls, administrative buildings. Schools (if not covered by Edu), playgrounds, parks",,Affected population,n/a,"Type of basic infrastructure, e.g. police stations, town halls, administrative buildings, schools (if not covered by Edu), playgrounds, parks, By age/gender/other diversity issues such as mobility. These different grounds have to have access to services such a women friendly police stations, girls friendly schools, or those that have mobility access routes.",Yes,Yes,n/a,,,,n/a,"Baseline, Output",Number and percentage,
Early Recovery,R-14,R4 Governance,Number and location of community reconciliation efforts undertaken,,Reconciliation initiatives,n/a,"Geography, sex, age, diversity, state/non state",Yes,Yes,n/a,,,,n/a,"Baseline, Output",Number,
Early Recovery,R-15,R1 Economic Recovery and Livelihoods,Number and Percentage of non-functioning markets,,Markets,# of markets operational pre-crisis,n/a,Yes,Yes,# of markets currently operational,,,,n/a,"Baseline, Output",Number and percentage,
Early Recovery,R-16,R1 Economic Recovery and Livelihoods,Number and Percentage of affected population with no access to any formal or informal financial service,,Affected population,# people in population,"Geography, sex and age",Yes,Yes,# of affected population with no access to any formal or informal financial service,,,,n/a,"Baseline, Outcome",Number and percentage,
Early Recovery,R-17,R3 Capacity Building,Number and percentage of micro enterprise owners in affected areas recieved skills training,,Enterprise owners,,Sex,Yes,Yes,,,,,N/A,"Baseline, Output",Number and percentage,
Early Recovery,R-18,R3 Capacity Building,Number and percentage of CBO leaders in affected areas trained in disaster risk reduction and planning,,CBO leaders,,Sex,Yes,Yes,,,,,N/A,"Baseline, Output",Number and percentage,
Early Recovery,R-2,R4 Governance,"Number and Percentage of affected areas with local government-led response planning capacity, with the ability to meet the needs of the enitre community in its diversity",,Affected areas,# of affected areas,n/a,Yes,Yes,# of affected areas with local government-led response planning capacity,,,,n/a,Output,"Affected areas (Areas to be defined at the national level - whether regional, district or local level)",
Early Recovery,R-3,R4 Governance,Number of affected areas with local government taking active planning/strategic measure to reduce the risk of disasters,,Affected areas,# of affected areas,n/a,Yes,Yes,# of affeced areas with local government led DRR initiatives,,,,n/a,Output,"Number and Percentage: Affected areas (Areas to be defined at the national level - whether regional, district or local level)",
Early Recovery,R-4,R4 Governance,"Number of areas where local government across sectors use knowledge, innovation and education to build a culture of preparedness, safety and resilience. This is to be differentiated by age/sex",,Affected areas,# of affected areas,"Children, adults, elderly, vulnerable",Yes,Yes,# of affected areas with local government-led intersectoral resilience building initiatives,,,,n/a,Output,Number and Percentage,
Early Recovery,R-5,R1 Economic Recovery and Livelihoods,Number and Percentage of households in need of income support,,Households,# of Households in affected area,"Sex (male-/female-headed household), and age",Yes,Yes,# of Households in affected area in need of income support,,,,n/a,Baseline,Percentage,
Early Recovery,R-6,R1 Economic Recovery and Livelihoods,Number and Percentage of households with no income sources provided with income support (transfer or generation),,Households,n/a,"Sex (male-/female-headed household), and age",Yes,Yes,n/a,,,,n/a,Output,Number and Percentage,
Early Recovery,R-7,R1 Economic Recovery and Livelihoods,Number and Percentage of households with no livelihood assets,,Households,# of crisis affected households,"Sex (male-/female-headed household), and age",Yes,Yes,# of crisis affected households with no livelihood assets,,,,n/a,"Baseline, Output",Number and Percentage,
Early Recovery,R-8,R1 Economic Recovery and Livelihoods,Percentage of economically active workforce that is employed on: a) a short term/ temporary basis; and b) a long term/ permanent basis,,Affected population,(Total workforce) # of people in economically active workforce,"Sex, Age",Yes,Yes,"(Employed workers) # of people in economically active workforce that is employed on: a) a short term/ temporary basis; and b) a long term/ permanent basis. Consider the influence of the unofficial sector, such as street selling of goods.",,,,n/a,"Baseline, Outcome",Number and Percentage,
Early Recovery,R-9,R2 Basic Infrastructure Restoration,Number and Percentage of population directly affected by problematic rubble/debris,,Affected population,# of crisis-hit people,"Geography, sex and age",Yes,Yes,# of crisis-hit people directly affected by rubble/ debris,,,,n/a,"Baseline, Outcome, Output",Number and Percentage,
Emergency Shelter and NFI,S1-1-1,S1.1 Access,Number and percentage of households in need of shelter assistance,,Household,Total number of surveyed households,Type of  shelter assistance needed (cash; material; labour; other); Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family);,,Yes,Number of households in need of shelter assistance,,Sphere: Shelter and settlement standard 1: Strategic planning,,,"Baseline, Outcome",Number and percentage,
Emergency Shelter and NFI,S1-1-2,S1.1 Access,Number and percentage of households indicating shelter as a priority need,,Household,Total number of surveyed households,Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement or displacement site/situation (self-settled / planned camp; collective centre; host family),,Yes,Number of households indicating shelter as a priority need,,Sphere: Shelter and settlement standard 1: Strategic planning,,,"Baseline, Outcome",Number and percentage,
Emergency Shelter and NFI,S1-1-3,S1.1 Access,Number and percentage of damaged houses / dwellings,,House,Total number of surveyed houses / dwellings,Settlement type (urban / rural; formal / informal; etc.); Housing type (house / appartment); Household tenure situation (owner / owner-occupier / renter; no tenure);  Sex and age,,Yes,Number of damaged houses / dwellings,,,,,"Baseline, Outcome",Number,
Emergency Shelter and NFI,S1-1-4,S1.1 Access,Average cost of housing construction materials,,Community,,Pre / Post emergency prices (including evolution over time from emergency onset); types of material,,Yes,Costs of essential shelter materials,,,,,Baseline,Number,
Emergency Shelter and NFI,S1-2-1,S1.2 Assistance,Number and percentage of households having received shelter assistance,,Household,Total number of affected households,"Type of  shelter assistance received (cash; material; labour; transportation; other); Shelter damage category; Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of response provider (local, national, or international; governmental or NGO; faith-based or secular; etc.)",Yes,Yes,Number of households having received shelter assistance,,,,,Output,Number and percentage,
Emergency Shelter and NFI,S1-2-10,S1.2 Assistance,Percentage of shelter interventions taking into account impact on the environment,,Community,Total number of shelter interventions,"Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of shelter intervention; Type of shelter responder (local, national, or international; governmental or non-governmental; faith-based or secular; etc.)",Yes,Yes,Number of shelter interventions taking into account impact on the environment,,,,,Outcome,Percentage,
Emergency Shelter and NFI,S1-2-2,S1.2 Assistance,Average covered living area per person among population receiving shelter assistance,,m2/person,,Shelter damage category;Type and source of  shelter assistance received; Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family);,Yes,Yes,Average covered living area per person,,,,,Outcome,Number,
Emergency Shelter and NFI,S1-2-3,S1.2 Assistance,Percentage of beneficiary households using shelter assistance as a means to address other needs,,Household,Total number of households receiving shelter assistance,Type and source of  shelter support received; Shelter damage category; Sex and age ; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of shelter responder (national or international; governmental or non-governmental; etc.),Yes,Yes,Number of beneficiary households using shelter assistance as a means to address other needs,,,,,Outcome,Percentage,
Emergency Shelter and NFI,S1-2-4,S1.2 Assistance,Number of persons / households / communities provided with training related to shelter assistance,,person / household / community,,"Type and theme of training; Age; Sex; Specific groups / categories of persons (ethnicity, religion, disability; etc.);  Individual status (i.e. refugee, IDP, host community)",Yes,Yes,Number of persons / households / communities provided with training related to shelter assistance,,,,,Output,Number,
Emergency Shelter and NFI,S1-2-5,S1.2 Assistance,Number and percentage of households having recovered adequate shelter without external support,,Household,Total numer of of surveyed households,Shelter damage category; Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family);,Yes,Yes,Number of households having recovered adequate shelter without external support,,,,,Outcome,Number and Percentage,
Emergency Shelter and NFI,S1-2-6,S1.2 Assistance,Percentage of shelter interventions incorporating hazard mitigation measures,,Community,Total number of shelter interventions,"Type of shelter interventions (self-recovery or external support); Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of response provider (local, national, or international; governmental or non-governmental; faith-based or secular; etc.)",Yes,Yes,Number of shelter  interventions,,,,,Outcome,Percentage,
Emergency Shelter and NFI,S1-2-7,S1.2 Assistance,"Percentage of shelter solutions incorporating measures to prevent/mitigate security risks, in particular gender based violence, for beneficiary households",,Household,Total number of shelter interventions,"Type of security measures implemented as part of the shelter solutions (doors, locks, fixed lighting, flashlights, portable radios, re-inforced shelter structure/cover material, etc.); Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of response provider (national or international; governmental or non-governmental; etc.)",,Yes,Number of shelter interventions,,,,,Outcome,Percentage,
Emergency Shelter and NFI,S1-2-8,S1.2 Assistance,Percentage of shelter solutions incorporating accessibility measures for people with specific needs,,Household,Total number of shelter interventions,"Type of measures implemented as part of shelter solution provided with an accessible approach (steps, handrails, ramp, dors, locks); Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of response provider (national or international; governmental or non-governmental; etc.)",,Yes,Number of shelter  interventions,,,,,Outcome,Percentage,
Emergency Shelter and NFI,S1-2-9,S1.2 Assistance,Percentage of beneficiary households satisfied with the  shelter assistance they receive(d),,Household,Total number of households receiving shelter assistance,Type and source of  shelter assistance received; Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of shelter responder (national or international; governmental or non-governmental; etc.),Yes,Yes,number of beneficiary households satisfied with the  shelter assistance they receive(d),,,,,Outcome,Percentage,
Emergency Shelter and NFI,S2-1-1,S2.1 Access,Number and percentage of households in need of non-food items,,Household,Total number of surveyed households,Type of  non-food item needed; Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family),,Yes,Number of households in need of non-food items,,Sphere NFI standard 1,,,"Baseline, Outcome",Number and Percentage,
Emergency Shelter and NFI,S2-1-3,S2.1 Access,Average cost of shelter-related non-food items,,Community,,Pre / Post emergency prices (including evolution over time from emergency onset); types of material,,Yes,Costs of essential NFI materials,,,,,Baseline,Number,
Emergency Shelter and NFI,S2-2-1,S1.2 Assistance,Number and percentage of households receiving non-food items,,Household,Total number of affected households,Type and source of  non-food item received; Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family),Yes,Yes,Number of households having received  non-food items,,,,,Output,Number and Percentage,
Emergency Shelter and NFI,S2-2-2,S2.2 Assistance,Number of persons / households / communities provided with training related to non-food item assistance,,person / household / community,,"Type and theme of training; Age; Sex; Specific groups / categories of persons (ethnicity, religion, disability; etc.);  Individual status (i.e. refugee, IDP, host community)",,Yes,Number of persons / households / communities provided with training related to NFI assistance,,"Sphere: NFI standard 5: Tools and fixings, Key Indicator 2",,,Output,Number,
Emergency Shelter and NFI,S2-2-3,S2.2 Assistance,Percentage of beneficiary households using shelter-related NFI assistance as a means to address other needs,,Household,Total number of households receiving NFI assistance,Type and source of  NFI support received; Shelter damage category; Sex and age ; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of shelter responder (national or international; governmental or non-governmental; etc.),,Yes,Number of beneficiary households using NFI assistance as a means to address other needs,,,,,Outcome,Percentage,
Emergency Shelter and NFI,S2-2-4,S2.2 Assistance,Percentage of shelter-related non-food item interventions taking into account impact on the environment,,Community,Total number of NFI interventions,"Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of shelter intervention; Type of shelter responder (local, national, or international; governmental or non-governmental; faith-based or secular; etc.)",Yes,Yes,Number of NFI interventions taking into account impact on the environment,,,,,Outcome,Percentage,
Emergency Shelter and NFI,S2-2-5,S2.2 Assistance,Percentage of beneficiary households satisfied with the  shelter-related non-food items they receive(d),,Household,Total number of households receiving NFI assistance,Type and source of  NFI assistance received; Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of shelter responder (national or international; governmental or non-governmental; etc.),Yes,Yes,number of beneficiary households satisfied with the  NFI assistance they receive(d),,,,,Outcome,Percentage,
Emergency Shelter and NFI,S3-1-1,S3.1 Access,Number and percentage of affected households requiring assistance to cover their energy needs,,Household,Total number of surveyed households,Type of energy support (different stoves / fuel types; etc);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family),,Yes,Number of households requiring assistance to cover energy needs,,"Sphere: NFI standard 4: Stoves, fuel and lighting",,,"Baseline, Outcome",Number and percentage,
Emergency Shelter and NFI,S3-1-3,S3.1 Access,Average cost of shelter-related energy / fuel,,Community,,Pre / Post emergency prices (including evolution over time from emergency onset); types of material,,Yes,Costs of essential energy materials,,,,,Baseline,Number,
Emergency Shelter and NFI,S3-2-1,S3.2 Assistance,Number and percentage of affected households provided with assistance to cover energy needs,,Household,Total number of affected households,Type of energy support (different stoves / fuel types; etc); Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of response provider (national or international; governmental or non-governmental; etc.),Yes,Yes,Number of affected households provided with assistance to cover energy needs,,,,,Output,Number and percentage,
Emergency Shelter and NFI,S3-2-2,S3.2 Assistance,Number of persons / households / communities provided with training related to energy/fuel assistance,,person / household / community,,"Type and theme of training; Age; Sex; Specific groups / categories of persons (ethnicity, religion, disability; etc.);  Individual status (i.e. refugee, IDP, host community)",,Yes,Number of persons / households / communities provided with training related to energy/fuel assistance,,,,,Output,Number,
Emergency Shelter and NFI,S3-2-3,S3.2 Assistance,Percentage of beneficiary households using shelter-related energy/fuel  assistance as a means to address other needs,,Household,Total number of households receiving energy/fuel assistance,Type and source of  energy/fuel support received; Shelter damage category; Sex and age ; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of shelter responder (national or international; governmental or non-governmental; etc.),,Yes,Number of beneficiary households using energy/fuel assistance as a means to address other needs,,,,,Outcome,Percentage,
Emergency Shelter and NFI,S3-2-4,S3.2 Assistance,Percentage of shelter-related energy/fuel interventions taking into account impact on the environment,,Community,Total number of energy/fuel interventions,"Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of shelter intervention; Type of shelter responder (local, national, or international; governmental or non-governmental; faith-based or secular; etc.)",Yes,Yes,Number of energy/fuel interventions taking into account impact on the environment,,,,,Outcome,Percentage,
Emergency Shelter and NFI,S3-2-5,S3.2 Assistance,Percentage of beneficiary households satisfied with the  shelter-related energy suppprt they receive(d),,Household,Total number of households receiving energy assistance,Type and source of  energy/fuel assistance received; Sex and age; Household tenure situation (owner / owner-occupier; renter; no tenure);  Type of settlement (urban / rural; formal / informal) or displacement site/situation (self-settled / planned camp; collective centre; host family); Type of shelter responder (national or international; governmental or non-governmental; etc.),Yes,Yes,number of beneficiary households satisfied with the  energy assistance they receive(d),,,,,Outcome,Percentage,
Emergency Telecommunications,T-1,T1 ICT Performance,Number of common operational areas covered by common security telecommunication network,,Facility,,n/a,Yes,Yes,,,,,,Output,Location / Operational Areas,
Emergency Telecommunications,T-2,T1 ICT Performance,Number of common operational areas covered by data communications services,,Facility,,n/a,Yes,Yes,,,,,,Output,Location / Operational Areas,
Emergency Telecommunications,T-3,T1 ICT Performance,Number of UN agency/NGO staff members trained on ETC services,,Individual,,n/a,Yes,Yes,,,,,,Output,Humanitarian Staff members,
Emergency Telecommunications,T-4,T2 ETC Coordination,Information Management and collaboration platform established and maintained up-to-date,,Other,,n/a,Yes,Yes,,,,,,Output,collaboration platform,
Emergency Telecommunications,T-5,T1 ICT Performance,Percentage of users reporting delivery of the service as “satisfactory” and within “satisfactory” timeframe,,Individual,,n/a,Yes,Yes,,,,,,Outcome,Percentage per Survey,
Water Sanitation Hygiene,W 6-1,W6 Drainage,Presence of stagnant water on and around the site,,Community,N/A,N/A,,,N/A,,SPHERE,,N/A,"Baseline, Outcome",Subtantial presence / No Substantial Presence,
Water Sanitation Hygiene,W 7-1,W7 Aggravating Factors,Presence of faecal-oral diseases,,Community,N/A,"Prevalence and incidence rates,  disaggregated by sex and age",,,N/A,,,,N/A,Baseline,"Outbreak or epidemic, of faecal-oral disease / High or significantly increasing faecal-oral disease incidence rates / Stable background incidence of faecal-oral disease",
Water Sanitation Hygiene,W 7-2,W7 Aggravating Factors,Extent of global acute malnutrition and food insecurity,,Community,N/A,disaggregated by sex and age,,,N/A,,,,N/A,Baseline,Low/ Moderate/ High/ Very High,
Water Sanitation Hygiene,W 7-3,W7 Aggravating Factors,Access to health service,,Community,N/A,N/A,,,N/A,,,,N/A,Baseline,Access / No or Limited Access,
Water Sanitation Hygiene,W 7-4,W7 Aggravating Factors,Density of settlement in m2 of total site area per person,,Community,Total nb of person,N/A,,,Total site area in m2,,,,45,Baseline,m2/person,
Water Sanitation Hygiene,W 7-5,W7 Aggravating Factors,Nb of people on the site,,Community,N/A,Disaggregation by sex,,,N/A,,,,>10000 5000-10000 1000-5000,Baseline,Number of people,
Water Sanitation Hygiene,W 7-6,W7 Aggravating Factors,Shelter Conditions,,Household,N/A,N/A,,,N/A,,,,1) Less than 2 m2 of covered floor area per person and unsanitary shelter conditions 2) Less than 2 m2 of covered floor area per person or unsanitary shelter conditions 3) Between 2 m2 and 3.5 m2 of covered floor area per person and sanitary shelter conditions 4) At least 3.5m2 of covered floor area per person and sanitary shelter conditions,Baseline,qualitative,
Water Sanitation Hygiene,W1-1,W1.1 Hygiene items,Proportion of households possessing soap,,Household,Total nb of households in the sample,N/A,No,,Nb of households possessing soap,,SPHERE,,Follow-up of trends. Target: 100%,"Baseline, Output",Percentage,
Water Sanitation Hygiene,W1-10,W1.2 Hygiene Practices,"Proportion of households where food is safely stored, prepared and consumed",,Household,Total number of households in the sample,N/A,Yes,,Nb of household where all three precautions are met,,SPHERE,,Follow-up of trends. Target: 100%,"Baseline, Outcome",Percentage,
Water Sanitation Hygiene,W1-11,W1.2 Hygiene Practices,"Proportion of pregnant women, children under five and other vulnerable people sleeping under effective insecticide-treated mosquito nets",,Community,Total number of pregnant women and children under five (or total number of people) in the households visited,SADD,,,Nb of pregnant women and children under five (or number of people) reported to sleep under effective insecticide-treated net in the households visited,,WASH Cluster,,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?","Baseline, Outcome",Percentage,
Water Sanitation Hygiene,W1-2,W1.1 Hygiene items,Proportion of households possessing at least one clean narrow-necked or covered water container for drinking-water,,Household,Total nb of households in the sample,N/A,No,,Nb of households possessing suitable water container,,SPHERE,,Follow-up of trends. Target: 100%,"Baseline, Output",Percentage,
Water Sanitation Hygiene,W1-3,W1.1 Hygiene items,Average total capacity of water collection and storage containers at household level,,Household,N/A,N/A,No,,N/A,,SPHERE,,N/A,"Baseline, Output",Litres,
